"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Atorvastatin Calcium","Atorvastatin Calcium",12,10814743.5,16778185,2945846906.1,4956622003
"Gabapentin","Gabapentin",12,5670180,7553448,3361222767,4404530561.2
"Amlodipine Besylate","Amlodipine Besylate",12,8591502.8,11575402,2447093435.7,3531475194
"Metformin HCl","Metformin HCl",12,5178604.1,5918026,2905970445.1,3422932236.3
"Gavilyte-G","PEG3350/Sod Sulf,Bicarb,Cl/KCl",12,316836.6,766658,1355541222.1,3298443031.1
"Lisinopril","Lisinopril",12,8025360.1,8750470,2454414263.3,2839032773.5
"Levothyroxine Sodium*","Levothyroxine Sodium",10,7579646,8687969,2250350404.1,2818388143.6
"Losartan Potassium","Losartan Potassium",12,5375712.6,8190862,1584416502.6,2620129104.6
"Metoprolol Succinate","Metoprolol Succinate",12,4733264.6,7156614,1462466122.2,2331558381
"Omeprazole","Omeprazole",12,6825776.2,7298218,1859332132.2,2092067971.3
"Carvedilol","Carvedilol",12,2926629.9,3511938,1599609700.1,2017058076.1
"Rosuvastatin Calcium","Rosuvastatin Calcium",8,3881163.9,6945233,987746033.4,1948227334.5
"Metoprolol Tartrate*","Metoprolol Tartrate",10,4181802.2,3916109,1969349762.6,1889941005.5
"Eliquis","Apixaban",11,1792468.1,3927848,821299012.2,1875283428.8
"PEG 3350-Electrolyte","Sodium Chloride/NaHCO3/KCl/PEG",11,253035.4,401739,1064079261.4,1708916201
"Pantoprazole Sodium*","Pantoprazole Sodium",10,4360954.2,6191845,1054348556.6,1651726032.8
"Tamsulosin HCl","Tamsulosin HCl",12,3535477.8,5074519,1021284670.6,1570177871.1
"Metformin HCl ER","Metformin HCl",12,1506984.1,2498132,877554010.1,1546035847.4
"Lactulose","Lactulose",12,454085.9,526962,1323706077.9,1545111950.1
"Furosemide*","Furosemide",10,5508375.5,5640922,1404876974,1502674962.5
"Gavilyte-C","PEG3350/Sod Sulf,Bicarb,Cl/KCl",12,182088,338109,783709342.2,1467585522
"Hydrocodone-Acetaminophen","Hydrocodone/Acetaminophen",12,5867384.6,5188771,1612677300.3,1418718156.8
"Hydrochlorothiazide","Hydrochlorothiazide",12,4351099.6,4902174,1107785979.1,1373760832.9
"Chlorhexidine Gluconate","Chlorhexidine Gluconate",12,1027337.9,1548760,905496685,1232142371.6
"Potassium Chloride*","Potassium Chloride",10,3266417,3479756,1146908880.7,1230881249.5
"Simvastatin","Simvastatin",12,5633608.9,3917152,1571671737.2,1201897282.1
"Diclofenac Sodium*","Diclofenac Sodium",10,2223285.5,3196668,683889621.3,1095397685.8
"Trazodone HCl","Trazodone HCl",12,2620776.8,3666058,723568056.4,1065891128.5
"Famotidine*","Famotidine",10,2022939.2,3593191,520691408.2,996904056.88
"Sertraline HCl","Sertraline HCl",12,2423241,3041276,721370794.7,967935403.73
"Hydralazine HCl*","Hydralazine HCl",10,1121049.6,1411222,676737358.6,884311412.5
"Clopidogrel","Clopidogrel Bisulfate",12,2894474.4,3259636,727618261.4,850873075.07
"Duloxetine HCl","Duloxetine HCl",11,1667269.3,2465211,504196775.1,833627653.07
"Tramadol HCl","Tramadol HCl",12,4018435,3884717,1003642331.8,811092107.12
"Montelukast Sodium","Montelukast Sodium",12,2173173.2,3063882,493687531.1,777605142.25
"Allopurinol","Allopurinol",12,1835410.6,2262180,585879779.9,761131401.32
"PEG-3350 And Electrolytes","PEG3350/Sod Sulf,Bicarb,Cl/KCl",12,147329.2,172866,609350770.5,738332365.23
"Triamcinolone Acetonide*","Triamcinolone Acetonide",10,2907597.2,3621019,552816987.4,721244441.87
"Pravastatin Sodium","Pravastatin Sodium",12,2782272,2403267,773815892.7,718249273.49
"Buspirone HCl","Buspirone HCl",12,868561.6,1420432,396377427.4,711156208.74
"Escitalopram Oxalate","Escitalopram Oxalate",12,1748556,2538742,419580904.5,685324209.9
"Alprazolam","Alprazolam",12,2275004.2,2265351,716413482.7,673477016.5
"Oxycodone-Acetaminophen","Oxycodone HCl/Acetaminophen",12,2333508.1,2133988,677473443,657561113.56
"Carbidopa-Levodopa","Carbidopa/Levodopa",12,467189.7,537069,483301249.9,646218953.32
"Levetiracetam*","Levetiracetam",10,648002.6,766583,529119095.9,628122579.32
"Oxycodone HCl","Oxycodone HCl",12,1573011.8,2459774,639650738.2,623757017.18
"Sodium Chloride*","0.9 % Sodium Chloride",10,85797.5,109257,497129177.5,621083374.12
"Glipizide","Glipizide",12,1159600.8,1178840,559609480.3,604470304.7
"Atenolol","Atenolol",12,2173250.4,1630835,729995518.3,586690757.77
"Meloxicam","Meloxicam",12,3003277.3,3868062,466667343,583799698.92
"Pregabalin","Pregabalin",5,1044541.6,1328626,422360855,567131525.98
"Spironolactone","Spironolactone",12,1404932.5,2081937,353255688.4,530462504.12
"Tizanidine HCl","Tizanidine HCl",12,1300198.4,1905964,382096701.7,528212835.23
"Prednisone","Prednisone",12,5505933.8,7163637,488261128,523600081.45
"Lisinopril-Hydrochlorothiazide","Lisinopril/Hydrochlorothiazide",12,1594137,1536804,498771256.9,518680726.68
